SunPartnerID,SunUID,SunName,SunPeriode,SunFrankenRegel,SunInfoJaNein,SunInfoTageimVoraus,SunNetzkostenNE5,SunNetzkostenNE6,SunNetzkostenNE7,SunProdukteAnzahl,SunProdukteAuswahl,SunRechtzeitig,SunSAIDItotal,SunSAIDIungeplant,SunSAIFItotal,SunSAIFIungeplant,SunTarifEC2,SunTarifEC3,SunTarifEC4,SunTarifEC6,SunTarifEH2,SunTarifEH4,SunTarifEH7,SunTarifNC2,SunTarifNC3,SunTarifNC4,SunTarifNC6,SunTarifNH2,SunTarifNH4,SunTarifNH7
282,CHE-102.281.394,"Elektrizitätsgenossenschaft Zwischenflüh u. Umgebung, Diemtigtal",2024,75.00008791208792,Ja,10,,,4269.420103,1,Nein,0,,,,,16.56551111111111,0,0,0,16.1456,16.124222222222222,15.238076923076923,16.253788888888888,0,0,0,19.8284,17.044666666666664,12.47476923076923
286,CHE-107.265.333,Elektrizitätsversorgung Altendorf AG,2024,29.062727052555097,Ja,7,34186.34804,9.422215587,9601.452991,1,,1,,,,,19.892,18.872533333333333,18.97303,18.846376666666668,19.8496,19.84017777777778,20.33883076923077,13.750689999999999,11.943333333333332,11.097166666666666,7.560300000000001,17.159885714285714,14.66582380952381,11.707590109890111
535,CHE-380.008.406,Elektrizitätsversorgung Egerkingen,2024,73.53959324967546,Ja,5,14399.30722,4.890619095,13584.80786,1,,0,,,,,10.9,10.600000000000001,10.600000000000001,0,10.9,10.9,10.9,7.27,9.53,8.974,6.938,10.790000000000001,9.083333333333332,7.688461538461539
135,CHE-100.202.780,Elektrizitätsversorgung Geltwil,2024,69.99065420560747,Ja,7,17626,17.94770476,9951.519608,1,,1,,,,,8.950000000000001,,,,,8.950000000000001,,8.959999999999999,,,,,11.710444444444445,
315,CHE-115.436.281,Elektrizitätsversorgung Innerthal,2024,75,Ja,7,7008.333333,31.752,5408.755118,1,,1,,,,,19.747799999999998,0,,,19.143428571428572,19.16473015873016,21.635925824175825,14.8794,15.763333333333332,,,19.99457142857143,17.440380952380952,15.27178021978022
317,CHE-107.286.513,Elektrizitätsversorgung Kaltbrunn AG,2024,75,Ja,5,28376.147,10.84653468,13479.0085,3,Nein,1,,,,,18.78135,15.105749999999999,15.06815,14.777111111111111,17.05257142857143,17.14,16.637005494505495,11.127683333333334,10.868666666666666,10.087000000000002,8.42811111111111,14.916857142857143,12.623333333333333,10.199642857142857
572,CHE-114.694.739,Elektrizitätsversorgung Oberbuchsiten,2024,74.7752509363296,Ja,5,16473.82466,7.696573298,7241.499618,1,Nein,1,,,,,19.54223888888889,18.97538888888889,18.786383333333333,,19.3944,19.386888888888887,19.1315,11.036888888888889,9.355333333333334,8.5824,,13.662,12.145555555555555,10.13923076923077
349,CHE-140.621.060,Elektrizitätsversorgung Ried-St. Stephan AG,2024,74.45911057692308,Ja,14,6225.397503,9.424519531,8697.353624,1,Nein,1,,,,,11,0,0,,11.999999999999998,11.999999999999998,11.999999999999998,17.55,15.89,15.342,,19.65,17.516666666666666,15.38846153846154
544,CHE-108.953.536,Elektrizitätswerk Aadorf,2024,34.03479832810868,Ja,4,13215.85656,4.564954855,9904.61991,3,Nein,0,,,,,21.624266666666664,21.588,20.8383,20.9083,19.697714285714284,19.73936507936508,18.974725274725277,10.751033333333332,11.046,10.0782,8.377333333333333,15.063142857142857,12.442539682539683,9.826483516483517
377,CHE-287.674.408,Elektrizitätswerk der Gemeinde Bergün Filisur,2024,54.56537618699781,Ja,10,16901.05567,13.66546794,10351.17037,2,Ja,1,,,,,13.2,13.2,13.2,13.2,13.2,13.2,13.2,10.850000000000001,9.77,9.566,8.422,18.65,15.450000000000001,12.834615384615384
565,CHE-108.954.978,Elektrizitätswerk der Stadt Zürich,2024,33.39312240227899,Ja,3,37644.89543,11.32787724,16842.94866,3,Nein,1,14.0699144743,8.3813969101,0.2297086501,0.1025787509,8.1972,8.286666666666667,7.6516,8.178133333333333,7.447314285714286,7.383619047619049,6.500395604395605,13.40745,13.270833333333334,12.28175,9.1768,12.359314285714285,12.270285714285714,11.03578021978022
426,CHE-103.184.351,Elektrizitätswerk des Kantons Schaffhausen AG,2024,74.79644003501605,Ja,1,14518.75238,12.00587596,16589.55718,4,Nein,1,44.6043242396,37.7769059146,0.7396167344,0.6480981646,12.36,11.71,11.71,11.41,12.360000000000001,12.360000000000001,12.360000000000001,14.685161666666668,13.37,12.32305,8.456807777777778,17.557114285714285,15.477198412698414,12.646340659340659
382,CHE-108.960.192,Elektrizitätswerk Göschenen,2024,75.16556291390728,Ja,7,25899.44637,11.36833333,19616.83176,1,,0,,,,,1.55,7.084666666666667,6.4396,,0.65,0.65,0.65,9.19,9.19,9.162,,9.63,9.416666666666666,9.242307692307692
439,CHE-107.067.425,Elektrizitätswerk Heiden AG,2024,92.74684645498043,Ja,180,18384.77684,8.461686957,10108.74125,1,Nein,1,,,,,17.559216666666668,17.207308333333334,17.064305,16.694695555555555,16.280442857142855,16.315931746031747,17.014539560439562,13.959358333333332,11.337933333333334,9.18392,7.1586355555555565,15.776857142857143,13.3,10.473186813186814
443,CHE-105.973.181,Elektrizitätswerk Jona-Rapperswil AG,2024,74.99993793831068,Ja,6,31748.39807,3.995222769,16544.30884,3,Nein,1,0.6411950589,0,0.0049411089,0,13.83685,12.452666666666666,12.371633333333333,12.388388888888889,13.658285714285714,13.664579365079364,13.581928571428572,11.0984,10.208666666666668,9.720933333333333,7.572388888888889,12.858857142857143,11.80768253968254,10.0645989010989
655,CHE-112.496.826,Elektrizitätswerk Oberglatt,2024,74.94683930471798,Ja,5,17191.58824,11.4535154,21923.15648,4,Nein,1,,,,,17.400000000000002,16.3,16.3,,18.5,17.966666666666665,17.53076923076923,11.772133333333334,11.03,10.314,,14.768857142857142,12.86968253968254,10.91813186813187
452,CHE-107.914.120,Elektrizitätswerk Obergoms AG,2024,-25.56911220043573,Ja,20,19875.59659,7.407417012,10913.06011,4,Nein,0,,,,,11.65,11.533333333333333,11.56375,11.47545,13.85,12.783333333333333,11.911538461538463,7.390000000000001,8.591333333333333,8.4872,4.816666666666666,10.03,8.75,7.703846153846154
454,CHE-108.954.530,Elektrizitätswerk Obwalden,2024,41.18419331336518,Ja,4,14048.34857,5.330926482,11717.1723,3,Nein,1,,,,,13.420913333333333,13.102666666666666,12.7692,12.926533333333333,13.699885714285715,13.285142857142857,12.581576923076923,11.07612,10.51,9.662,6.9188,14.653828571428571,12.79104761904762,11.149769230769232
793,CHE-114.830.072,Elektrizitätswerk Randa AG,2024,25.43633707865169,Ja,2,,1.728263393,3464.427346,1,,1,,,,,6.916466666666667,6.916666666666667,6.902150000000001,,6.9078,6.906000000000001,6.888461538461539,7.15,11.749999999999998,11.15,,9.35,8.283333333333333,7.411538461538462
460,CHE-106.954.795,Elektrizitätswerk Rümlang Genossenschaft,2024,74.81060606060606,Ja,5,33044.74033,6.837933717,23696.5458,3,Nein,1,,,,,15.72,15.6,15.6,15.6,16.82,16.28666666666667,15.85076923076923,15.40811,11.520133333333334,10.622706666666666,7.908755555555556,17.062114285714284,15.717953968253967,14.02640989010989
464,CHE-112.557.623,Elektrizitätswerk Schindellegi,2024,75,Ja,5,14861.04478,15.20742459,7719.504132,2,Nein,1,,,,,11.893715,11.422799999999999,11.18123,,11.288657142857144,11.301738095238095,11.294978021978022,12.365183333333333,11.622,10.90285,,14.549142857142858,12.667539682539681,9.88151098901099
552,CHE-107.293.418,Elektrizitätswerk Schmerikon AG,2024,75,Ja,5,13287.78088,12.8149333,15170.22504,3,Nein,1,,,,,18.509166666666665,17.733333333333334,16.3138,15.943988888888889,16.814285714285713,16.900000000000002,16.40686813186813,12.515500000000001,11.69,11.151,7.270844444444444,15.89857142857143,13.816666666666666,11.777197802197803
467,CHE-105.900.762,Elektrizitätswerk Sennwald Genossenschaft,2024,75,Ja,5,16210.63268,11.64921571,9351.491658,4,Ja,1,,,,,19.657925,19.19441666666667,19.1363,19.1,19.302,19.32,19.216442307692308,13.379058333333333,11.294,10.693999999999999,7.565477777777779,18.674,15.54,12.199697802197802
476,CHE-107.073.265,Elektrizitätswerk Urnäsch AG,2024,74.92403100775194,Ja,2,14284.83412,17.1009106,6229.925651,3,Nein,0,,,,,12.251941666666667,15.229541666666666,14.846324999999998,14.503916666666667,11.523142857142858,11.559999999999999,11.347953296703295,15.185041666666667,14.094,13.544,5.887794444444445,20.85285714285714,17.7,14.813392857142857
477,CHE-108.956.291,Elektrizitätswerk Ursern,2024,74.79722879351132,Ja,4,19054.5408,13.5022849,17594.30612,1,Nein,1,,,,,18.46,16.234666666666666,16.3612,16.201733333333333,18.408,18.396444444444445,19.008,13.18,13.610000000000001,14.209999999999999,8.32,18.46,15.899999999999999,13.807692307692307
478,CHE-107.286.938,Elektrizitätswerk Uznach AG,2024,73.85827633378933,Ja,7,35686.88737,14.27758974,14905.23895,1,Nein,0,,,,,16.8,16.64,16.612,,19,19.53333333333333,17.06153846153846,12.389999999999999,14.87,13.946000000000002,,17.23,14.883333333333333,12.965384615384615
